ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0043112	receptor metabolic process	4/59	192/18670	0.00317398443925184	0.024778238522426	0.0160258372213453	BECN1/HDAC6/ITGB1/HIF1A	4
BP	GO:0009651	response to salt stress	2/59	27/18670	0.00327533487879904	0.0252450113347931	0.0163277321725773	BAX/HSP90AB1	2
BP	GO:0070167	regulation of biomineral tissue development	3/59	94/18670	0.00327689301698424	0.0252450113347931	0.0163277321725773	ATF4/HIF1A/NBR1	3
BP	GO:0110149	regulation of biomineralization	3/59	94/18670	0.00327689301698424	0.0252450113347931	0.0163277321725773	ATF4/HIF1A/NBR1	3
BP	GO:1901216	positive regulation of neuron death	3/59	94/18670	0.00327689301698424	0.0252450113347931	0.0163277321725773	BAX/PARP1/ATF4	3
BP	GO:1903076	regulation of protein localization to plasma membrane	3/59	95/18670	0.00337621267378076	0.0258467663084393	0.0167169296228343	ITGB1/GOPC/RAB11A	3
BP	GO:0042110	T cell activation	6/59	464/18670	0.00337707535883109	0.0258467663084393	0.0167169296228343	BAX/ERBB2/TSC1/STK11/FKBP1A/MAPK8IP1	6
BP	GO:0006470	protein dephosphorylation	5/59	321/18670	0.00341327890777119	0.0259829220209694	0.0168049911403546	TSC1/IKBKB/STK11/FKBP1A/HSP90AB1	5
BP	GO:0071897	DNA biosynthetic process	4/59	196/18670	0.00341705379268086	0.0259829220209694	0.0168049911403546	MAP2K7/SPHK1/HSP90AB1/MAPK3	4
BP	GO:0042326	negative regulation of phosphorylation	6/59	468/18670	0.00352223858530536	0.0266960607339325	0.0172662283231286	BAX/TSC2/CDKN1B/FOXO1/PTK6/MAPK8IP1	6
BP	GO:0014020	primary neural tube formation	3/59	97/18670	0.00358035273270221	0.027048987419318	0.0174944909417945	TSC1/TSC2/HIF1A	3
BP	GO:0006109	regulation of carbohydrate metabolic process	4/59	199/18670	0.00360747942308533	0.0271662919899223	0.0175703600941607	ARNT/NFKB1/FOXO1/HIF1A	4
BP	GO:0046677	response to antibiotic	5/59	327/18670	0.00369324480045028	0.0277230106495338	0.0179304293787043	BECN1/HDAC6/CDKN1B/SPHK1/FOXO1	5
BP	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	2/59	29/18670	0.00377324096210373	0.0279649694090093	0.018086921200757	STK11/HSP90AB1	2
BP	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	2/59	29/18670	0.00377324096210373	0.0279649694090093	0.018086921200757	IKBKB/TBK1	2
BP	GO:0060632	regulation of microtubule-based movement	2/59	29/18670	0.00377324096210373	0.0279649694090093	0.018086921200757	HDAC6/LAMP1	2
BP	GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	2/59	29/18670	0.00377324096210373	0.0279649694090093	0.018086921200757	STK11/HSP90AB1	2
BP	GO:0051701	interaction with host	4/59	202/18670	0.00380500847092786	0.0281114505959402	0.018181660931978	CHMP4B/ITGB1/LAMP1/P4HB	4
BP	GO:0001655	urogenital system development	5/59	330/18670	0.00383925992243124	0.0282753042085974	0.0182876366381283	BAX/TP73/TSC1/CDKN1B/STK11	5
BP	GO:0070498	interleukin-1-mediated signaling pathway	3/59	100/18670	0.0039004719184391	0.0286360665610795	0.0185209671362279	NFKB1/IKBKB/MAPK3	3
BP	GO:0031396	regulation of protein ubiquitination	4/59	204/18670	0.0039407026319811	0.0288410173878117	0.0186535233138842	SPHK1/FKBP1A/HSP90AB1/MAPK9	4
BP	GO:0071222	cellular response to lipopolysaccharide	4/59	205/18670	0.00400976595263124	0.0291635166412494	0.0188621063628738	MAPK8/NFKB1/IL24/MAPK3	4
BP	GO:0001782	B cell homeostasis	2/59	30/18670	0.00403457702466474	0.0291635166412494	0.0188621063628738	BAX/HIF1A	2
BP	GO:0010743	regulation of macrophage derived foam cell differentiation	2/59	30/18670	0.00403457702466474	0.0291635166412494	0.0188621063628738	NFKB1/MAPK9	2
BP	GO:0036258	multivesicular body assembly	2/59	30/18670	0.00403457702466474	0.0291635166412494	0.0188621063628738	CHMP4B/RAB11A	2
BP	GO:0070555	response to interleukin-1	4/59	207/18670	0.00415034792390942	0.0299080456547565	0.0193436458704637	NFKB1/IKBKB/HIF1A/MAPK3	4
BP	GO:0032091	negative regulation of protein binding	3/59	103/18670	0.00423752560071101	0.0304425918922245	0.0196893746833166	BAX/MAPK8/MAPK3	3
BP	GO:0035303	regulation of dephosphorylation	4/59	209/18670	0.00429423395303075	0.0305460528567766	0.0197562901977174	TSC1/IKBKB/FKBP1A/HSP90AB1	4
BP	GO:0010458	exit from mitosis	2/59	31/18670	0.00430409796871745	0.0305460528567766	0.0197562901977174	CDKN1B/CHMP4B	2
BP	GO:0036257	multivesicular body organization	2/59	31/18670	0.00430409796871745	0.0305460528567766	0.0197562901977174	CHMP4B/RAB11A	2
BP	GO:0045648	positive regulation of erythrocyte differentiation	2/59	31/18670	0.00430409796871745	0.0305460528567766	0.0197562901977174	ARNT/HIF1A	2
BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3/59	104/18670	0.00435368587844766	0.0308046293876871	0.0199235299064595	PARP1/STK11/HSP90AB1	3
BP	GO:0033044	regulation of chromosome organization	5/59	342/18670	0.00446503194463159	0.0314500819912333	0.0203409897008336	BECN1/MAPK8/PARP1/MAP2K7/MAPK3	5
BP	GO:0001841	neural tube formation	3/59	105/18670	0.00447176656835213	0.0314500819912333	0.0203409897008336	TSC1/TSC2/HIF1A	3
BP	GO:0071219	cellular response to molecule of bacterial origin	4/59	212/18670	0.00451633704576552	0.0316292403186375	0.0204568640471569	MAPK8/NFKB1/IL24/MAPK3	4
BP	GO:0006356	regulation of transcription by RNA polymerase I	2/59	32/18670	0.00458175124706576	0.0316292403186375	0.0204568640471569	ERBB2/ATF4	2
BP	GO:0038128	ERBB2 signaling pathway	2/59	32/18670	0.00458175124706576	0.0316292403186375	0.0204568640471569	ERBB2/PTK6	2
BP	GO:0051085	chaperone cofactor-dependent protein refolding	2/59	32/18670	0.00458175124706576	0.0316292403186375	0.0204568640471569	HSPA8/ST13	2
BP	GO:0071353	cellular response to interleukin-4	2/59	32/18670	0.00458175124706576	0.0316292403186375	0.0204568640471569	IL24/HSP90AB1	2
BP	GO:0003300	cardiac muscle hypertrophy	3/59	106/18670	0.00459177698904216	0.0316292403186375	0.0204568640471569	BECN1/PARP1/FOXO1	3
BP	GO:0007041	lysosomal transport	3/59	106/18670	0.00459177698904216	0.0316292403186375	0.0204568640471569	HSPA8/LAMP1/ARSB	3
BP	GO:0007254	JNK cascade	4/59	214/18670	0.00466864067541063	0.031970632929274	0.0206776667648997	MAPK8/MAP2K7/MAPK8IP1/MAPK9	4
BP	GO:0045732	positive regulation of protein catabolic process	4/59	214/18670	0.00466864067541063	0.031970632929274	0.0206776667648997	ATG4B/CDKN1B/FOXO1/MAPK9	4
BP	GO:0043502	regulation of muscle adaptation	3/59	107/18670	0.00471372631808363	0.032091706502767	0.0207559735976816	BECN1/PARP1/FOXO1	3
BP	GO:0051341	regulation of oxidoreductase activity	3/59	107/18670	0.00471372631808363	0.032091706502767	0.0207559735976816	HDAC6/NFKB1/HIF1A	3
BP	GO:0010975	regulation of neuron projection development	6/59	499/18670	0.00481062809311501	0.0325704252094363	0.0210655948026333	EEF2K/TSC1/STK11/ARSB/PTK6/RAB11A	6
BP	GO:1904659	glucose transmembrane transport	3/59	108/18670	0.00483762359294173	0.0325704252094363	0.0210655948026333	CAPN10/TSC1/PEA15	3
BP	GO:2000278	regulation of DNA biosynthetic process	3/59	108/18670	0.00483762359294173	0.0325704252094363	0.0210655948026333	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	5/59	349/18670	0.0048620406390766	0.0325704252094363	0.0210655948026333	PARP1/STK11/FKBP1A/HSP90AB1/MAPK3	5
BP	GO:0002756	MyD88-independent toll-like receptor signaling pathway	2/59	33/18670	0.00486748455307545	0.0325704252094363	0.0210655948026333	IKBKB/TBK1	2
BP	GO:0010039	response to iron ion	2/59	33/18670	0.00486748455307545	0.0325704252094363	0.0210655948026333	BECN1/HIF1A	2
BP	GO:0014897	striated muscle hypertrophy	3/59	109/18670	0.00496347771192726	0.0331181333371329	0.0214198363396711	BECN1/PARP1/FOXO1	3
BP	GO:0051052	regulation of DNA metabolic process	5/59	351/18670	0.00497994773888908	0.0331336295581768	0.0214298588404946	BAX/PARP1/MAP2K7/HSP90AB1/MAPK3	5
BP	GO:0010631	epithelial cell migration	5/59	352/18670	0.00503965903803318	0.0334359248359028	0.0216253745511547	HDAC6/ITGB1/ARSB/HIF1A/RAB11A	5
BP	GO:0030098	lymphocyte differentiation	5/59	353/18670	0.00509987862654542	0.0337398749812695	0.0218219605816202	BAX/ERBB2/TSC1/ITGB1/STK11	5
BP	GO:0032212	positive regulation of telomere maintenance via telomerase	2/59	34/18670	0.0051612458197204	0.0339540385106325	0.0219604752648659	MAP2K7/MAPK3	2
BP	GO:0070670	response to interleukin-4	2/59	34/18670	0.0051612458197204	0.0339540385106325	0.0219604752648659	IL24/HSP90AB1	2
BP	GO:0014896	muscle hypertrophy	3/59	111/18670	0.00522109138539557	0.0341608308602961	0.0220942224854897	BECN1/PARP1/FOXO1	3
BP	GO:0090132	epithelium migration	5/59	355/18670	0.00522185202732109	0.0341608308602961	0.0220942224854897	HDAC6/ITGB1/ARSB/HIF1A/RAB11A	5
BP	GO:0008645	hexose transmembrane transport	3/59	112/18670	0.00535286804917661	0.034920381535297	0.0225854775627185	CAPN10/TSC1/PEA15	3
BP	GO:0051354	negative regulation of oxidoreductase activity	2/59	35/18670	0.00546298321863207	0.0352046602493132	0.0227693406889126	HDAC6/NFKB1	2
BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	2/59	35/18670	0.00546298321863207	0.0352046602493132	0.0227693406889126	HSP90AB1/TBK1	2
BP	GO:1904031	positive regulation of cyclin-dependent protein kinase activity	2/59	35/18670	0.00546298321863207	0.0352046602493132	0.0227693406889126	CDKN1B/HSP90AB1	2
BP	GO:2000785	regulation of autophagosome assembly	2/59	35/18670	0.00546298321863207	0.0352046602493132	0.0227693406889126	BECN1/CHMP4B	2
BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	3/59	113/18670	0.00548663577754027	0.0352046602493132	0.0227693406889126	NFKB1/RAF1/IKBKB	3
BP	GO:0021987	cerebral cortex development	3/59	113/18670	0.00548663577754027	0.0352046602493132	0.0227693406889126	BAX/TSC1/HIF1A	3
BP	GO:0090130	tissue migration	5/59	361/18670	0.00560021397539305	0.0358352489900834	0.0231771869732257	HDAC6/ITGB1/ARSB/HIF1A/RAB11A	5
BP	GO:0015749	monosaccharide transmembrane transport	3/59	114/18670	0.00562240278705006	0.0358792025266247	0.0232056148302453	CAPN10/TSC1/PEA15	3
BP	GO:0018108	peptidyl-tyrosine phosphorylation	5/59	363/18670	0.00573054388682554	0.0360520932339603	0.023317435463917	ERBB2/MAP2K7/PTK6/IL24/MAPK3	5
BP	GO:1900542	regulation of purine nucleotide metabolic process	3/59	115/18670	0.00576017716069132	0.0360520932339603	0.023317435463917	ARNT/PARP1/HIF1A	3
BP	GO:1904375	regulation of protein localization to cell periphery	3/59	115/18670	0.00576017716069132	0.0360520932339603	0.023317435463917	ITGB1/GOPC/RAB11A	3
BP	GO:0010742	macrophage derived foam cell differentiation	2/59	36/18670	0.00577264515915249	0.0360520932339603	0.023317435463917	NFKB1/MAPK9	2
BP	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	2/59	36/18670	0.00577264515915249	0.0360520932339603	0.023317435463917	ARNT/HIF1A	2
BP	GO:0046627	negative regulation of insulin receptor signaling pathway	2/59	36/18670	0.00577264515915249	0.0360520932339603	0.023317435463917	TSC1/TSC2	2
BP	GO:0071634	regulation of transforming growth factor beta production	2/59	36/18670	0.00577264515915249	0.0360520932339603	0.023317435463917	HIF1A/HSP90AB1	2
BP	GO:0090077	foam cell differentiation	2/59	36/18670	0.00577264515915249	0.0360520932339603	0.023317435463917	NFKB1/MAPK9	2
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	3/59	116/18670	0.00589996684878379	0.0365478260866466	0.0236380609190006	NFKB1/RAF1/IKBKB	3
BP	GO:0034219	carbohydrate transmembrane transport	3/59	116/18670	0.00589996684878379	0.0365478260866466	0.0236380609190006	CAPN10/TSC1/PEA15	3
BP	GO:0001894	tissue homeostasis	4/59	229/18670	0.00592263216557367	0.0365478260866466	0.0236380609190006	BAX/CHMP4B/STK11/TP53INP2	4
BP	GO:0032388	positive regulation of intracellular transport	4/59	229/18670	0.00592263216557367	0.0365478260866466	0.0236380609190006	CAPN10/ERBB2/MAPK8/TP73	4
BP	GO:0018212	peptidyl-tyrosine modification	5/59	366/18670	0.00593004863916554	0.0365478260866466	0.0236380609190006	ERBB2/MAP2K7/PTK6/IL24/MAPK3	5
BP	GO:0002758	innate immune response-activating signal transduction	3/59	117/18670	0.00604177966988956	0.0368558197236929	0.0238372621611731	NFKB1/RAF1/IKBKB	3
BP	GO:0006140	regulation of nucleotide metabolic process	3/59	117/18670	0.00604177966988956	0.0368558197236929	0.0238372621611731	ARNT/PARP1/HIF1A	3
BP	GO:0031398	positive regulation of protein ubiquitination	3/59	117/18670	0.00604177966988956	0.0368558197236929	0.0238372621611731	SPHK1/FKBP1A/MAPK9	3
BP	GO:0006921	cellular component disassembly involved in execution phase of apoptosis	2/59	37/18670	0.00609018028739075	0.0368558197236929	0.0238372621611731	BAX/CAPN10	2
BP	GO:0038083	peptidyl-tyrosine autophosphorylation	2/59	37/18670	0.00609018028739075	0.0368558197236929	0.0238372621611731	PTK6/MAPK3	2
BP	GO:0051084	'de novo' posttranslational protein folding	2/59	37/18670	0.00609018028739075	0.0368558197236929	0.0238372621611731	HSPA8/ST13	2
BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	2/59	37/18670	0.00609018028739075	0.0368558197236929	0.0238372621611731	MAP2K7/MAPK3	2
BP	GO:0006909	phagocytosis	5/59	369/18670	0.00613442059785618	0.0370278686602556	0.023948538362222	BECN1/ITGB1/SPHK1/HSP90AB1/MAPK3	5
BP	GO:0045666	positive regulation of neuron differentiation	5/59	371/18670	0.0062734032149967	0.0376844123591116	0.0243731715514233	EEF2K/STK11/ARSB/PTK6/RAB11A	5
BP	GO:0016358	dendrite development	4/59	233/18670	0.00629146252451437	0.0376844123591116	0.0243731715514233	EEF2K/HDAC6/ITGB1/STK11	4
BP	GO:0048738	cardiac muscle tissue development	4/59	233/18670	0.00629146252451437	0.0376844123591116	0.0243731715514233	TP73/TSC1/ITGB1/FKBP1A	4
BP	GO:0045022	early endosome to late endosome transport	2/59	38/18670	0.00641553748528294	0.0380384526342599	0.0246021544072542	BECN1/MAPK3	2
BP	GO:0071604	transforming growth factor beta production	2/59	38/18670	0.00641553748528294	0.0380384526342599	0.0246021544072542	HIF1A/HSP90AB1	2
BP	GO:1900077	negative regulation of cellular response to insulin stimulus	2/59	38/18670	0.00641553748528294	0.0380384526342599	0.0246021544072542	TSC1/TSC2	2
BP	GO:1905898	positive regulation of response to endoplasmic reticulum stress	2/59	38/18670	0.00641553748528294	0.0380384526342599	0.0246021544072542	BAX/ATF6	2
BP	GO:0006469	negative regulation of protein kinase activity	4/59	235/18670	0.00648148961473683	0.0383324461558426	0.024792300785769	TSC2/CDKN1B/PTK6/MAPK8IP1	4
BP	GO:0071216	cellular response to biotic stimulus	4/59	236/18670	0.00657792037354525	0.0388047594832317	0.0250977791794554	MAPK8/NFKB1/IL24/MAPK3	4
BP	GO:0046718	viral entry into host cell	3/59	121/18670	0.00662941409461737	0.0388152195239847	0.0251045444267221	ITGB1/LAMP1/P4HB	3
BP	GO:0048675	axon extension	3/59	121/18670	0.00662941409461737	0.0388152195239847	0.0251045444267221	ITGB1/HSP90AB1/RAB11A	3
BP	GO:1903578	regulation of ATP metabolic process	3/59	121/18670	0.00662941409461737	0.0388152195239847	0.0251045444267221	ARNT/PARP1/HIF1A	3
BP	GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	2/59	39/18670	0.00674866586965536	0.0393168543948579	0.0254289871338939	RAF1/PEA15	2
BP	GO:1902116	negative regulation of organelle assembly	2/59	39/18670	0.00674866586965536	0.0393168543948579	0.0254289871338939	BECN1/CHMP4B	2
BP	GO:0042176	regulation of protein catabolic process	5/59	381/18670	0.00700181687710326	0.0405094406044184	0.0262003168815489	ATG4B/CDKN1B/FOXO1/HSP90AB1/MAPK9	5
BP	GO:0042593	glucose homeostasis	4/59	241/18670	0.00707440667239892	0.0405094406044184	0.0262003168815489	RAF1/STK11/FOXO1/HIF1A	4
BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	4/59	241/18670	0.00707440667239892	0.0405094406044184	0.0262003168815489	PARP1/STK11/FKBP1A/HSP90AB1	4
BP	GO:0006623	protein targeting to vacuole	2/59	40/18670	0.00708951479129135	0.0405094406044184	0.0262003168815489	BECN1/HSPA8	2
BP	GO:2000008	regulation of protein localization to cell surface	2/59	40/18670	0.00708951479129135	0.0405094406044184	0.0262003168815489	HSP90AB1/GOPC	2
BP	GO:0001838	embryonic epithelial tube formation	3/59	124/18670	0.00709174664722953	0.0405094406044184	0.0262003168815489	TSC1/TSC2/HIF1A	3
BP	GO:0008637	apoptotic mitochondrial changes	3/59	124/18670	0.00709174664722953	0.0405094406044184	0.0262003168815489	BAX/MAPK8/TP73	3
BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	3/59	124/18670	0.00709174664722953	0.0405094406044184	0.0262003168815489	BECN1/TSC2/MAPK3	3
BP	GO:0031346	positive regulation of cell projection organization	5/59	383/18670	0.00715432669956414	0.0407674772028692	0.0263672073778276	EEF2K/STK11/ARSB/PTK6/RAB11A	5
BP	GO:0033500	carbohydrate homeostasis	4/59	242/18670	0.00717659818763052	0.0407951285325987	0.0263850914460918	RAF1/STK11/FOXO1/HIF1A	4
BP	GO:0018107	peptidyl-threonine phosphorylation	3/59	126/18670	0.00741036204255728	0.0420219561832183	0.0271785675525422	MAPK8/SPHK1/TBK1	3
BP	GO:0098927	vesicle-mediated transport between endosomal compartments	2/59	41/18670	0.00743803383400135	0.0420769933314762	0.0272141639642206	BECN1/MAPK3	2
BP	GO:0035270	endocrine system development	3/59	127/18670	0.00757280786782043	0.04273618319623	0.0276405086158367	RAF1/FOXO1/MAPK3	3
BP	GO:0010613	positive regulation of cardiac muscle hypertrophy	2/59	42/18670	0.00779417281369648	0.0436697433724334	0.0282443079297639	BECN1/PARP1	2
BP	GO:0042149	cellular response to glucose starvation	2/59	42/18670	0.00779417281369648	0.0436697433724334	0.0282443079297639	BECN1/ATF4	2
BP	GO:0044088	regulation of vacuole organization	2/59	42/18670	0.00779417281369648	0.0436697433724334	0.0282443079297639	BECN1/CHMP4B	2
BP	GO:0010639	negative regulation of organelle organization	5/59	393/18670	0.00795199857417658	0.0444476865411016	0.0287474587319184	BECN1/HDAC6/PARP1/TSC2/CHMP4B	5
BP	GO:0043500	muscle adaptation	3/59	130/18670	0.00807277462671589	0.0449547273478209	0.0290753978396846	BECN1/PARP1/FOXO1	3
BP	GO:0014742	positive regulation of muscle hypertrophy	2/59	43/18670	0.00815788177746537	0.0449547273478209	0.0290753978396846	BECN1/PARP1	2
BP	GO:0031279	regulation of cyclase activity	2/59	43/18670	0.00815788177746537	0.0449547273478209	0.0290753978396846	MAPK8/MAPK3	2
BP	GO:0032459	regulation of protein oligomerization	2/59	43/18670	0.00815788177746537	0.0449547273478209	0.0290753978396846	BAX/HDAC6	2
BP	GO:0038202	TORC1 signaling	2/59	43/18670	0.00815788177746537	0.0449547273478209	0.0290753978396846	MLST8/STK11	2
BP	GO:0071364	cellular response to epidermal growth factor stimulus	2/59	43/18670	0.00815788177746537	0.0449547273478209	0.0290753978396846	BECN1/ERBB2	2
BP	GO:0072175	epithelial tube formation	3/59	132/18670	0.00841667176821743	0.0462719372797306	0.0299273305521742	TSC1/TSC2/HIF1A	3
BP	GO:0042987	amyloid precursor protein catabolic process	2/59	44/18670	0.00852911100265447	0.0466709765612542	0.0301854174442198	CLN3/FKBP1A	2
BP	GO:0071622	regulation of granulocyte chemotaxis	2/59	44/18670	0.00852911100265447	0.0466709765612542	0.0301854174442198	DAPK2/MAPK3	2
BP	GO:0007006	mitochondrial membrane organization	3/59	134/18670	0.00876909292797783	0.0476501522907751	0.030818719558823	BAX/MAPK8/TP73	3
BP	GO:0018210	peptidyl-threonine modification	3/59	134/18670	0.00876909292797783	0.0476501522907751	0.030818719558823	MAPK8/SPHK1/TBK1	3
BP	GO:0044409	entry into host	3/59	134/18670	0.00876909292797783	0.0476501522907751	0.030818719558823	ITGB1/LAMP1/P4HB	3
BP	GO:0033673	negative regulation of kinase activity	4/59	257/18670	0.00882847870966621	0.0478617989306441	0.0309556063918364	TSC2/CDKN1B/PTK6/MAPK8IP1	4
BP	GO:0048538	thymus development	2/59	45/18670	0.00890781099595168	0.048180354162861	0.0311616385636914	RAF1/MAPK3	2
BP	GO:0090257	regulation of muscle system process	4/59	259/18670	0.00906596997290454	0.0489228149229088	0.0316418403856649	BECN1/PARP1/SPHK1/FOXO1	4
BP	GO:0000280	nuclear division	5/59	407/18670	0.00917029339120402	0.0493445947398727	0.0319146351884025	BECN1/CDKN1B/CHMP4B/SPHK1/RAB11A	5
BP	GO:0072659	protein localization to plasma membrane	4/59	260/18670	0.00918626955874658	0.0493445947398727	0.0319146351884025	IKBKB/ITGB1/GOPC/RAB11A	4
BP	GO:0045981	positive regulation of nucleotide metabolic process	2/59	46/18670	0.00929393249247323	0.0494624327936572	0.0319908493820274	ARNT/HIF1A	2
BP	GO:0051646	mitochondrion localization	2/59	46/18670	0.00929393249247323	0.0494624327936572	0.0319908493820274	HDAC6/HIF1A	2
BP	GO:1900544	positive regulation of purine nucleotide metabolic process	2/59	46/18670	0.00929393249247323	0.0494624327936572	0.0319908493820274	ARNT/HIF1A	2
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	4/59	261/18670	0.00930760982879815	0.0494624327936572	0.0319908493820274	NFKB1/IKBKB/SPHK1/MBTPS2	4
BP	GO:0072655	establishment of protein localization to mitochondrion	3/59	137/18670	0.00931380566268267	0.0494624327936572	0.0319908493820274	BAX/MAPK8/TP73	3
CC	GO:0005776	autophagosome	11/59	93/19717	3.24666986252779e-15	7.88940776594253e-13	5.2288472522816e-13	ATG16L2/RAB24/BECN1/HSPA8/CLN3/DAPK2/LAMP1/ATG9B/NBR1/TM9SF1/TP53INP2	11
CC	GO:0000407	phagophore assembly site	6/59	32/19717	4.71576318623678e-10	5.72965227127769e-08	3.79743035523277e-08	WDR45/ATG2A/BECN1/ULK3/ATG9B/NBR1	6
CC	GO:0042470	melanosome	6/59	106/19717	7.48434851070075e-07	4.5467417202507e-05	3.01343505825583e-05	HSPA8/ITGB1/LAMP1/P4HB/CANX/HSP90AB1	6
CC	GO:0048770	pigment granule	6/59	106/19717	7.48434851070075e-07	4.5467417202507e-05	3.01343505825583e-05	HSPA8/ITGB1/LAMP1/P4HB/CANX/HSP90AB1	6
CC	GO:0005774	vacuolar membrane	9/59	412/19717	3.47091933419447e-06	0.000168686679641851	0.000111800138554053	ATG16L2/HSPA8/CLN3/GAA/LAMP1/ATG9B/HSP90AB1/GOPC/TM9SF1	9
CC	GO:0005770	late endosome	7/59	256/19717	1.09935336558794e-05	0.000445238113063116	0.000295089587605184	HDAC6/CHMP4B/CLN3/LAMP1/MAPK3/NBR1/RAB11A	7
CC	GO:0101031	chaperone complex	3/59	22/19717	3.76388965293105e-05	0.00130660740808892	0.000865977619396167	TSC1/HSPA8/HSP90AB1	3
CC	GO:0005765	lysosomal membrane	7/59	354/19717	8.66905199382817e-05	0.00238220495739626	0.0015788492895024	HSPA8/CLN3/GAA/LAMP1/HSP90AB1/GOPC/TM9SF1	7
CC	GO:0098852	lytic vacuole membrane	7/59	355/19717	8.82298132368987e-05	0.00238220495739626	0.0015788492895024	HSPA8/CLN3/GAA/LAMP1/HSP90AB1/GOPC/TM9SF1	7
CC	GO:0016234	inclusion body	4/59	82/19717	0.000106261322047772	0.00258215012576087	0.00171136655508518	HDAC6/ATF4/HSP90AB1/TBK1	4
CC	GO:0000421	autophagosome membrane	3/59	36/19717	0.00016938741552449	0.00374192199749555	0.00248002627514325	ATG16L2/ATG9B/TM9SF1	3
CC	GO:0005771	multivesicular body	3/59	51/19717	0.000478555201671569	0.00969074283384927	0.00642271454875001	HDAC6/LAMP1/RAB11A	3
CC	GO:0010008	endosome membrane	7/59	479/19717	0.000547552626113852	0.0102350221650512	0.00678344548950764	BECN1/ERBB2/CHMP4B/LAMP1/SPHK1/TBK1/RAB11A	7
CC	GO:0044292	dendrite terminus	2/59	13/19717	0.000672213931701756	0.011667713243109	0.00773298733461418	HSP90AB1/MAPK8IP1	2
CC	GO:0034045	phagophore assembly site membrane	2/59	16/19717	0.00102822137628318	0.0166571862957875	0.0110398505664089	WDR45/ATG2A	2
CC	GO:0031143	pseudopodium	2/59	17/19717	0.00116307787246669	0.0176642451880878	0.0117072970057502	RAF1/MAPK3	2
CC	GO:0005775	vacuolar lumen	4/59	172/19717	0.00175173405588745	0.0239692750785341	0.0158860692528296	HSPA8/DAPK2/GAA/ARSB	4
CC	GO:0005901	caveola	3/59	80/19717	0.00177550185766919	0.0239692750785341	0.0158860692528296	HDAC6/CLN3/MAPK3	3
CC	GO:0019898	extrinsic component of membrane	5/59	295/19717	0.00187538733769241	0.0239852170031187	0.0158966350507999	WDR45/ATG2A/BECN1/PTK6/FKBP1A	5
CC	GO:0098562	cytoplasmic side of membrane	4/59	178/19717	0.00198511325122646	0.0241191260024014	0.015985385654613	IKBKB/CHMP4B/PTK6/FKBP1A	4
CC	GO:0030139	endocytic vesicle	5/59	303/19717	0.00210723075466679	0.0243836701611442	0.0161607170658656	RAB24/BECN1/LAMP1/SPHK1/RAB11A	5
CC	GO:0045121	membrane raft	5/59	315/19717	0.00249342002273426	0.0267064911752436	0.0177002085761848	HDAC6/IKBKB/CLN3/ITGB1/MAPK3	5
CC	GO:0098857	membrane microdomain	5/59	316/19717	0.0025277748848996	0.0267064911752436	0.0177002085761848	HDAC6/IKBKB/CLN3/ITGB1/MAPK3	5
CC	GO:0043202	lysosomal lumen	3/59	95/19717	0.00289783582419197	0.0288432309891367	0.0191163714158021	HSPA8/GAA/ARSB	3
CC	GO:0098589	membrane region	5/59	328/19717	0.00296741059559019	0.0288432309891367	0.0191163714158021	HDAC6/IKBKB/CLN3/ITGB1/MAPK3	5
CC	GO:0044295	axonal growth cone	2/59	28/19717	0.00316506475975884	0.0295811821777461	0.0196054618721904	HSP90AB1/MAPK8IP1	2
CC	GO:0044853	plasma membrane raft	3/59	109/19717	0.00426719108661119	0.0384047197795007	0.0254534205166282	HDAC6/CLN3/MAPK3	3
CC	GO:0098576	lumenal side of membrane	2/59	34/19717	0.00464360982779001	0.0402998995768919	0.0267094850996944	HSPA8/CANX	2
CC	GO:0101002	ficolin-1-rich granule	3/59	124/19717	0.00610758313631498	0.0494714234041514	0.032788077889691	HSPA8/ARSB/HSP90AB1	3
CC	GO:1904813	ficolin-1-rich granule lumen	3/59	124/19717	0.00610758313631498	0.0494714234041514	0.032788077889691	HSPA8/ARSB/HSP90AB1	3
MF	GO:0031072	heat shock protein binding	9/56	119/17696	1.20277620965693e-10	2.44163570560357e-08	1.69654749572662e-08	BAX/HDAC6/TSC1/TSC2/CDKN1B/HSPA8/ST13/HIF1A/HSP90AB1	9
